"Date","Price","Open","High","Low","Vol.","Change %"
"2019-08-02","5.3800","5.3975","5.4270","5.3000","0.37K","0.09%"
"2019-08-01","5.3750","5.3988","5.4291","5.2900","0.11K","-0.09%"
"2019-07-31","5.3800","5.3800","5.4325","5.3370","0.26K","0.10%"
"2019-07-30","5.3746","5.3900","5.4400","5.2900","0.50K","1.09%"
"2019-07-29","5.3165","5.3700","5.4291","5.2900","0.11K","-0.25%"
"2019-07-26","5.3300","5.2050","5.4199","5.2050","0.23K","2.12%"
"2019-07-25","5.2191","5.4100","5.4291","5.2896","0.18K","-3.17%"
"2019-07-24","5.3900","5.3750","5.4391","5.3525","0.55K","1.54%"
"2019-07-23","5.3080","5.3900","5.4391","5.3150","1.10K","-1.15%"
"2019-07-22","5.3700","5.2050","5.4300","5.2050","0.68K","1.78%"
"2019-07-19","5.2762","5.2050","5.4241","5.2050","0.19K","0.10%"
"2019-07-18","5.2709","5.4038","5.4141","5.3104","0.08K","-0.73%"
"2019-07-17","5.3097","5.2050","5.4141","5.2050","0.25K","-0.19%"
"2019-07-16","5.3200","5.3550","5.4166","5.2950","0.21K","-0.56%"
"2019-07-15","5.3500","5.2050","5.4650","5.2050","0.38K","0.94%"
"2019-07-12","5.3000","5.2050","5.4200","5.2050","0.24K","0.00%"
"2019-07-11","5.3000","5.3750","5.4200","5.3250","0.24K","-0.55%"
"2019-07-10","5.3294","5.3750","5.4300","5.3400","1.54K","-0.84%"
"2019-07-09","5.3746","5.3700","5.4400","5.3575","2.48K","0.29%"
"2019-07-08","5.3592","5.4000","5.4365","5.3600","1.37K","-0.39%"
"2019-07-05","5.3800","5.4000","5.4450","5.3600","2.74K","0.47%"
"2019-07-04","5.3550","5.3950","5.4600","5.3550","0.07K","-0.83%"
"2019-07-03","5.4000","5.4350","5.4600","5.3600","0.66K","1.24%"
"2019-07-02","5.3341","5.4000","5.4600","5.3650","0.08K","-1.48%"
"2019-07-01","5.4142","5.4000","5.4850","5.3624","0.08K","0.64%"
"2019-06-28","5.3800","5.3800","5.4800","5.3600","0.11K","-0.37%"
"2019-06-27","5.4000","5.4050","5.4900","5.3650","0.19K","-0.14%"
"2019-06-26","5.4076","5.4075","5.5000","5.3250","0.28K","-0.45%"
"2019-06-25","5.4321","5.3850","5.4925","5.3011","0.12K","1.78%"
"2019-06-24","5.3370","5.3700","5.4651","5.3224","0.09K","-0.20%"
"2019-06-21","5.3476","5.3700","5.4700","5.3550","0.09K","0.73%"
